TDS,DEVELOPMENT,BOROUGH,LAT,LON,TOTAL_POP,POP14_18,POP18_24,POP_60_UP,HAS_ECO_HUB,AREA_FLOOD,AREA_BUILD,BUILT,OUTREACH,TDS_OUTREACH,ETT_OUTREACH,RECRUITMENT,TDS_RECRUITMENT,ETT_RECRUITMENT
341.0,UNIVERSITY AVENUE REHAB,BRONX,40.8528021,-73.913491,491.0,,52.0,,0.0,0.0,0.791922,0,0.0,NaN,NaN,0.0,74.0,38.0
342.0,UNION AVENUE-EAST 163RD STREET,BRONX,40.8231021,-73.901551,226.0,,0.0,,0.0,0.0,0.0,0,0.0,59.0,5.390451553142908,0.0,59.0,5.0
343.0,UPACA (SITE 5),MANHATTAN,40.8017321,-73.939643,214.0,,0.0,,0.0,0.0,0.856737,0,0.0,74.0,13.329019303960472,0.0,74.0,11.0
344.0,MARSHALL PLAZA,MANHATTAN,40.8333048,-73.941988,189.0,,0.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,59.0,35.0
345.0,BELMONT-SUTTER AREA,BROOKLYN,40.671432,-73.886724,171.0,,23.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,27.0
346.0,BOYNTON AVENUE REHAB,BRONX,40.8255307,-73.877467,179.0,,20.0,,0.0,0.0,0.282726,0,0.0,NaN,NaN,0.0,123.0,29.0
347.0,HARRISON AVENUE REHAB (GROUP A),BRONX,40.8535186,-73.910418,74.0,,4.0,,0.0,0.0,0.065461,0,0.0,NaN,NaN,0.0,123.0,33.0
348.0,LENOX ROAD-ROCKAWAY PARKWAY,BROOKLYN,40.6594588,-73.918167,157.0,,26.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,22.0
351.0,PARK ROCK REHAB,BROOKLYN,40.6716596,-73.928394,309.0,,35.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,26.0
352.0,RALPH AVENUE REHAB,BROOKLYN,40.6663489,-73.922746,273.0,,27.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,16.0
353.0,STEBBINS AVENUE-HEWITT PLACE,BRONX,40.8193726,-73.899357,268.0,,30.0,,0.0,0.0,0.0,0,0.0,59.0,14.325594412014858,0.0,59.0,11.0
354.0,TAPSCOTT STREET REHAB,BROOKLYN,40.663534,-73.919587,337.0,,43.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,20.0
